CNN,JKU,25827,76.53286695480347
CNN,ENST-1,8813,32.45748805999756
CNN,Modal,501,5.326153993606567
CNN,ENST-3,11019,39.325485944747925
CNN,ENST-2,10319,38.5156729221344
OnsetRate,JKU,25827,23.20093011856079
OnsetRate,ENST-1,8813,11.191202878952026
OnsetRate,Modal,501,2.5904700756073
OnsetRate,ENST-3,11019,13.947300910949707
OnsetRate,ENST-2,10319,12.924062013626099
SuperFlux,JKU,25827,25.892134189605713
SuperFlux,ENST-1,8813,11.328667879104614
SuperFlux,Modal,501,1.6927781105041504
SuperFlux,ENST-3,11019,14.075715065002441
SuperFlux,ENST-2,10319,15.342934846878052
CNN,JKU,25827,79.00188398361206
CNN,ENST-1,8813,33.04406809806824
CNN,Modal,501,5.299773931503296
CNN,ENST-3,11019,39.63008999824524
CNN,ENST-2,10319,38.69142699241638
OnsetRate,JKU,25827,23.466191053390503
OnsetRate,ENST-1,8813,11.588865995407104
OnsetRate,Modal,501,2.825355052947998
OnsetRate,ENST-3,11019,13.747267007827759
OnsetRate,ENST-2,10319,12.959630966186523
SuperFlux,JKU,25827,25.99960994720459
SuperFlux,ENST-1,8813,11.28920602798462
SuperFlux,Modal,501,1.6551799774169922
SuperFlux,ENST-3,11019,13.818221092224121
SuperFlux,ENST-2,10319,15.89611005783081
CNN,JKU,25827,79.15619993209839
CNN,ENST-1,8813,32.78483700752258
CNN,Modal,501,5.092057943344116
CNN,ENST-3,11019,40.199058055877686
CNN,ENST-2,10319,38.20920205116272
OnsetRate,JKU,25827,24.225499153137207
OnsetRate,ENST-1,8813,11.04534387588501
OnsetRate,Modal,501,2.8504438400268555
OnsetRate,ENST-3,11019,13.16811990737915
OnsetRate,ENST-2,10319,12.851488828659058
SuperFlux,JKU,25827,25.665133953094482
SuperFlux,ENST-1,8813,11.219156980514526
SuperFlux,Modal,501,1.7160110473632812
SuperFlux,ENST-3,11019,13.857359170913696
SuperFlux,ENST-2,10319,15.197403192520142
CNN,JKU,25827,78.40786099433899
CNN,ENST-1,8813,32.889322996139526
CNN,Modal,501,5.013292074203491
CNN,ENST-3,11019,39.771337032318115
CNN,ENST-2,10319,38.522154092788696
OnsetRate,JKU,25827,23.47843289375305
OnsetRate,ENST-1,8813,11.677795886993408
OnsetRate,Modal,501,2.5662121772766113
OnsetRate,ENST-3,11019,13.545281887054443
OnsetRate,ENST-2,10319,12.826535940170288
SuperFlux,JKU,25827,26.15244197845459
SuperFlux,ENST-1,8813,11.481895923614502
SuperFlux,Modal,501,1.6987388134002686
SuperFlux,ENST-3,11019,13.756485939025879
SuperFlux,ENST-2,10319,16.213275909423828
CNN,JKU,25827,78.35956406593323
CNN,ENST-1,8813,32.686031103134155
CNN,Modal,501,5.0502519607543945
CNN,ENST-3,11019,39.61711001396179
CNN,ENST-2,10319,38.01358199119568
OnsetRate,JKU,25827,23.40605616569519
OnsetRate,ENST-1,8813,11.175126075744629
OnsetRate,Modal,501,2.444981098175049
OnsetRate,ENST-3,11019,13.46589708328247
OnsetRate,ENST-2,10319,12.788985967636108
SuperFlux,JKU,25827,25.707030057907104
SuperFlux,ENST-1,8813,11.441015005111694
SuperFlux,Modal,501,1.5776481628417969
SuperFlux,ENST-3,11019,13.736838102340698
SuperFlux,ENST-2,10319,15.988649129867554
CNN,JKU,25827,78.12497591972351
CNN,ENST-1,8813,32.996095180511475
CNN,Modal,501,5.19497013092041
CNN,ENST-3,11019,40.32907795906067
CNN,ENST-2,10319,38.300076961517334
OnsetRate,JKU,25827,23.389732837677002
OnsetRate,ENST-1,8813,11.270371913909912
OnsetRate,Modal,501,2.6775410175323486
OnsetRate,ENST-3,11019,13.328444004058838
OnsetRate,ENST-2,10319,12.815721035003662
SuperFlux,JKU,25827,25.98533606529236
SuperFlux,ENST-1,8813,11.425997018814087
SuperFlux,Modal,501,1.6849281787872314
SuperFlux,ENST-3,11019,13.919499158859253
SuperFlux,ENST-2,10319,16.777886867523193
CNN,JKU,25827,79.17865800857544
CNN,ENST-1,8813,32.81470489501953
CNN,Modal,501,4.909976959228516
CNN,ENST-3,11019,40.04644799232483
CNN,ENST-2,10319,38.20370292663574
OnsetRate,JKU,25827,24.14635396003723
OnsetRate,ENST-1,8813,11.291584968566895
OnsetRate,Modal,501,2.564391851425171
OnsetRate,ENST-3,11019,13.267841100692749
OnsetRate,ENST-2,10319,12.710187911987305
SuperFlux,JKU,25827,25.841821908950806
SuperFlux,ENST-1,8813,11.264925003051758
SuperFlux,Modal,501,1.7122411727905273
SuperFlux,ENST-3,11019,13.827313899993896
SuperFlux,ENST-2,10319,15.492966175079346
CNN,JKU,25827,78.42005205154419
CNN,ENST-1,8813,33.04837679862976
CNN,Modal,501,5.114825010299683
CNN,ENST-3,11019,40.27172899246216
CNN,ENST-2,10319,38.366345167160034
OnsetRate,JKU,25827,23.306535005569458
OnsetRate,ENST-1,8813,10.89680290222168
OnsetRate,Modal,501,2.760590076446533
OnsetRate,ENST-3,11019,13.38762378692627
OnsetRate,ENST-2,10319,12.59296202659607
SuperFlux,JKU,25827,25.70383310317993
SuperFlux,ENST-1,8813,11.229089975357056
SuperFlux,Modal,501,1.6293439865112305
SuperFlux,ENST-3,11019,14.016613960266113
SuperFlux,ENST-2,10319,15.355910062789917
CNN,JKU,25827,78.14013600349426
CNN,ENST-1,8813,33.070183992385864
CNN,Modal,501,4.9106409549713135
CNN,ENST-3,11019,40.446064949035645
CNN,ENST-2,10319,37.99476981163025
OnsetRate,JKU,25827,23.250067949295044
OnsetRate,ENST-1,8813,11.017083168029785
