Gender,Age,casualListen,focusListen,Instrument,Percussion,Read,Rock_Preference,Electronic_Preference,Latin_Preference,Complex_Rhythms,Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-04-23.wav,04,23,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-11-8.wav,11,8,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-25-3.wav,25,3,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-15-40.wav,15,40,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-33-11.wav,33,11,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-58-4.wav,58,4,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-70-19.wav,70,19,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-83-11.wav,83,11,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-94-4.wav,94,4,5
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-73-17.wav,73,17,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-81-12.wav,81,12,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-91-6.wav,91,6,3
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-06-17.wav,06,17,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-11-8.wav,11,8,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-20-4.wav,20,4,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-16-24.wav,16,24,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-25-14.wav,25,14,2
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-67-4.wav,67,4,4
Female,15-24,5,4,Yes,No,Yes,1,2,3,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-67-21.wav,67,21,3
