Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,1
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,2
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,3
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,4
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,5
interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,2
