Algorithm,Measure,Value
CNN,f-measure,0.9473684210526315
CNN,precision,1.0
CNN,recall,0.9508196721311475
CNN,f-measure,0.9747899159663865
CNN,precision,0.9548872180451128
CNN,recall,0.9071428571428571
CNN,f-measure,0.9304029304029303
CNN,precision,0.9224806201550387
CNN,recall,0.8439716312056738
CNN,f-measure,0.8814814814814815
CNN,precision,0.9534883720930233
CNN,recall,0.8631578947368421
CNN,f-measure,0.9060773480662985
CNN,precision,0.9866666666666667
CNN,recall,0.9736842105263158
CNN,f-measure,0.9801324503311258
CNN,precision,0.9879518072289156
CNN,recall,0.9761904761904762
CNN,f-measure,0.9820359281437125
CNN,precision,0.9340659340659341
CNN,recall,0.9883720930232558
CNN,f-measure,0.96045197740113
CNN,precision,1.0
CNN,recall,0.9540229885057471
CNN,f-measure,0.976470588235294
CNN,precision,0.9896907216494846
CNN,recall,0.9320388349514563
CNN,f-measure,0.9600000000000001
CNN,precision,0.9504132231404959
CNN,recall,0.8984375
CNN,f-measure,0.9236947791164659
CNN,precision,1.0
CNN,recall,0.9622641509433962
CNN,f-measure,0.9807692307692307
CNN,precision,0.9552238805970149
CNN,recall,0.9014084507042254
CNN,f-measure,0.927536231884058
CNN,precision,0.9712230215827338
CNN,recall,0.9375
CNN,f-measure,0.9540636042402827
CNN,precision,0.9692307692307692
CNN,recall,0.9692307692307692
CNN,f-measure,0.9692307692307692
CNN,precision,0.9904761904761905
CNN,recall,0.8524590163934426
CNN,f-measure,0.9162995594713657
CNN,precision,0.9652173913043478
CNN,recall,0.9568965517241379
CNN,f-measure,0.961038961038961
CNN,precision,0.9358974358974359
CNN,recall,0.9733333333333334
CNN,f-measure,0.954248366013072
CNN,precision,0.9605263157894737
CNN,recall,0.9358974358974359
CNN,f-measure,0.948051948051948
CNN,precision,0.9904761904761905
CNN,recall,0.9904761904761905
CNN,f-measure,0.9904761904761905
CNN,precision,1.0
CNN,recall,0.9743589743589743
CNN,f-measure,0.9870129870129869
CNN,precision,0.9772727272727273
CNN,recall,0.945054945054945
CNN,f-measure,0.9608938547486033
CNN,precision,0.9854014598540146
CNN,recall,0.9507042253521126
CNN,f-measure,0.9677419354838709
CNN,precision,0.9761904761904762
CNN,recall,0.9761904761904762
CNN,f-measure,0.9761904761904762
CNN,precision,1.0
CNN,recall,0.9622641509433962
CNN,f-measure,0.9807692307692307
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9099099099099099
CNN,recall,0.9711538461538461
CNN,f-measure,0.9395348837209302
CNN,precision,0.9298245614035088
CNN,recall,0.9464285714285714
CNN,f-measure,0.9380530973451328
CNN,precision,0.9625668449197861
CNN,recall,0.9090909090909091
CNN,f-measure,0.935064935064935
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8831168831168831
CNN,recall,0.9714285714285714
CNN,f-measure,0.9251700680272108
CNN,precision,0.953757225433526
CNN,recall,0.8418367346938775
CNN,f-measure,0.8943089430894309
CNN,precision,0.8928571428571429
CNN,recall,0.8495145631067961
CNN,f-measure,0.8706467661691543
CNN,precision,0.9336569579288025
CNN,recall,0.9129746835443038
CNN,f-measure,0.9231999999999999
CNN,precision,0.9666666666666667
CNN,recall,0.9040767386091128
CNN,f-measure,0.9343246592317224
CNN,precision,0.9864864864864865
CNN,recall,0.8875379939209727
CNN,f-measure,0.9344000000000001
CNN,precision,0.967551622418879
CNN,recall,0.9291784702549575
CNN,f-measure,0.9479768786127168
CNN,precision,0.9873817034700315
CNN,recall,0.8942857142857142
CNN,f-measure,0.9385307346326837
CNN,precision,0.9922279792746114
CNN,recall,0.9206730769230769
CNN,f-measure,0.9551122194513715
CNN,precision,0.9328859060402684
CNN,recall,0.972027972027972
CNN,f-measure,0.9520547945205479
CNN,precision,0.9609375
CNN,recall,0.9201995012468828
CNN,f-measure,0.9401273885350319
CNN,precision,0.9652406417112299
CNN,recall,0.8848039215686274
CNN,f-measure,0.9232736572890025
CNN,precision,0.9929577464788732
CNN,recall,0.9690721649484536
CNN,f-measure,0.9808695652173914
CNN,precision,0.9841269841269841
CNN,recall,0.9538461538461539
CNN,f-measure,0.96875
CNN,precision,0.9862068965517241
CNN,recall,0.8666666666666667
CNN,f-measure,0.9225806451612903
CNN,precision,0.96875
CNN,recall,0.9612403100775194
CNN,f-measure,0.9649805447470817
CNN,precision,0.9707317073170731
CNN,recall,0.9255813953488372
CNN,f-measure,0.9476190476190476
CNN,precision,0.9714285714285714
CNN,recall,0.9488372093023256
CNN,f-measure,0.9600000000000001
CNN,precision,0.9415204678362573
CNN,recall,0.9147727272727273
CNN,f-measure,0.9279538904899136
CNN,precision,0.9438202247191011
CNN,recall,0.9130434782608695
CNN,f-measure,0.9281767955801105
CNN,precision,0.9473684210526315
CNN,recall,0.9
CNN,f-measure,0.9230769230769231
CNN,precision,0.9851485148514851
CNN,recall,0.9386792452830188
CNN,f-measure,0.961352657004831
CNN,precision,0.9497206703910615
CNN,recall,0.845771144278607
CNN,f-measure,0.8947368421052632
CNN,precision,0.963855421686747
CNN,recall,0.8743169398907104
CNN,f-measure,0.9169054441260744
CNN,precision,0.9345794392523364
CNN,recall,0.9230769230769231
CNN,f-measure,0.9287925696594428
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8571428571428571
CNN,recall,1.0
CNN,f-measure,0.923076923076923
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.6666666666666666
CNN,recall,0.8
CNN,f-measure,0.7272727272727272
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.6
CNN,recall,0.42857142857142855
CNN,f-measure,0.5
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.2
CNN,recall,0.4
CNN,f-measure,0.26666666666666666
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8333333333333334
CNN,recall,1.0
CNN,f-measure,0.9090909090909091
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.6
CNN,recall,1.0
CNN,f-measure,0.7499999999999999
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,1.0
CNN,recall,0.9166666666666666
CNN,f-measure,0.9565217391304348
CNN,precision,1.0
CNN,recall,0.9166666666666666
CNN,f-measure,0.9565217391304348
CNN,precision,0.9428571428571428
CNN,recall,1.0
CNN,f-measure,0.9705882352941176
CNN,precision,0.8888888888888888
CNN,recall,1.0
CNN,f-measure,0.9411764705882353
CNN,precision,0.88
CNN,recall,1.0
CNN,f-measure,0.9361702127659575
CNN,precision,0.9078947368421053
CNN,recall,0.9857142857142858
CNN,f-measure,0.9452054794520548
CNN,precision,0.9411764705882353
CNN,recall,0.9795918367346939
CNN,f-measure,0.96
CNN,precision,0.9714285714285714
CNN,recall,1.0
CNN,f-measure,0.9855072463768115
CNN,precision,0.8823529411764706
CNN,recall,0.9375
CNN,f-measure,0.9090909090909091
CNN,precision,0.921875
CNN,recall,0.9516129032258065
CNN,f-measure,0.9365079365079365
CNN,precision,0.9444444444444444
CNN,recall,0.9714285714285714
CNN,f-measure,0.9577464788732395
CNN,precision,0.9508196721311475
CNN,recall,0.9666666666666667
CNN,f-measure,0.9586776859504132
CNN,precision,0.9629629629629629
CNN,recall,0.9369369369369369
CNN,f-measure,0.9497716894977168
CNN,precision,0.9473684210526315
CNN,recall,0.8059701492537313
CNN,f-measure,0.8709677419354839
CNN,precision,0.9746835443037974
CNN,recall,0.8279569892473119
CNN,f-measure,0.8953488372093023
CNN,precision,0.9512195121951219
CNN,recall,0.9669421487603306
CNN,f-measure,0.9590163934426229
CNN,precision,0.9576271186440678
CNN,recall,0.9741379310344828
CNN,f-measure,0.9658119658119658
CNN,precision,0.9657142857142857
CNN,recall,0.9285714285714286
CNN,f-measure,0.9467787114845939
CNN,precision,0.9761904761904762
CNN,recall,0.9761904761904762
CNN,f-measure,0.9761904761904762
CNN,precision,0.9705882352941176
CNN,recall,1.0
CNN,f-measure,0.9850746268656716
CNN,precision,0.9642857142857143
CNN,recall,0.9642857142857143
CNN,f-measure,0.9642857142857143
CNN,precision,0.9428571428571428
CNN,recall,0.9565217391304348
CNN,f-measure,0.9496402877697843
CNN,precision,0.978021978021978
CNN,recall,0.967391304347826
CNN,f-measure,0.9726775956284153
CNN,precision,0.9793103448275862
CNN,recall,0.9726027397260274
CNN,f-measure,0.9759450171821304
CNN,precision,0.9696969696969697
CNN,recall,0.9696969696969697
CNN,f-measure,0.9696969696969697
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.974025974025974
CNN,recall,0.974025974025974
CNN,f-measure,0.974025974025974
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.8809523809523809
CNN,recall,0.9736842105263158
CNN,f-measure,0.925
CNN,precision,0.9130434782608695
CNN,recall,0.9230769230769231
CNN,f-measure,0.9180327868852459
CNN,precision,0.8888888888888888
CNN,recall,0.96
CNN,f-measure,0.923076923076923
CNN,precision,0.9393939393939394
CNN,recall,0.8857142857142857
CNN,f-measure,0.9117647058823529
CNN,precision,0.9868421052631579
CNN,recall,0.9259259259259259
CNN,f-measure,0.9554140127388535
CNN,precision,0.935064935064935
CNN,recall,0.9113924050632911
CNN,f-measure,0.923076923076923
CNN,precision,0.9914529914529915
CNN,recall,0.90625
CNN,f-measure,0.9469387755102041
CNN,precision,0.978021978021978
CNN,recall,0.8516746411483254
CNN,f-measure,0.9104859335038363
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.95
CNN,recall,0.9743589743589743
CNN,f-measure,0.9620253164556962
CNN,precision,0.8795180722891566
CNN,recall,1.0
CNN,f-measure,0.9358974358974359
CNN,precision,0.9361702127659575
CNN,recall,1.0
CNN,f-measure,0.967032967032967
CNN,precision,0.9090909090909091
CNN,recall,0.9734513274336283
CNN,f-measure,0.9401709401709402
CNN,precision,0.9314285714285714
CNN,recall,0.9588235294117647
CNN,f-measure,0.944927536231884
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9512195121951219
CNN,recall,1.0
CNN,f-measure,0.975
CNN,precision,0.8953488372093024
CNN,recall,1.0
CNN,f-measure,0.9447852760736196
CNN,precision,0.96
CNN,recall,0.96
CNN,f-measure,0.96
CNN,precision,0.9393939393939394
CNN,recall,0.9893617021276596
CNN,f-measure,0.9637305699481866
CNN,precision,0.9090909090909091
CNN,recall,0.875
CNN,f-measure,0.8917197452229298
CNN,precision,0.9591836734693877
CNN,recall,0.9038461538461539
CNN,f-measure,0.9306930693069307
CNN,precision,0.9204545454545454
CNN,recall,0.9310344827586207
CNN,f-measure,0.9257142857142858
CNN,precision,0.9531772575250836
CNN,recall,0.9693877551020408
CNN,f-measure,0.9612141652613828
CNN,precision,0.8242894056847545
CNN,recall,0.9193083573487032
CNN,f-measure,0.8692098092643052
CNN,precision,0.981941309255079
CNN,recall,0.9518599562363238
CNN,f-measure,0.9666666666666667
CNN,precision,0.9735973597359736
CNN,recall,0.9800664451827242
CNN,f-measure,0.9768211920529801
CNN,precision,0.9700996677740864
CNN,recall,0.9733333333333334
CNN,f-measure,0.9717138103161398
CNN,precision,0.8904109589041096
CNN,recall,0.9605911330049262
CNN,f-measure,0.9241706161137442
CNN,precision,0.9561855670103093
CNN,recall,0.9661458333333334
CNN,f-measure,0.9611398963730571
CNN,precision,0.9719626168224299
CNN,recall,0.9629629629629629
CNN,f-measure,0.9674418604651163
CNN,precision,0.976890756302521
CNN,recall,0.747588424437299
CNN,f-measure,0.8469945355191255
CNN,precision,0.9878048780487805
CNN,recall,0.8933823529411765
CNN,f-measure,0.9382239382239382
CNN,precision,0.9722222222222222
CNN,recall,0.9597806215722121
CNN,f-measure,0.9659613615455381
CNN,precision,0.9924242424242424
CNN,recall,1.0
CNN,f-measure,0.9961977186311787
CNN,precision,0.9013157894736842
CNN,recall,0.8896103896103896
CNN,f-measure,0.8954248366013072
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9652777777777778
CNN,recall,0.9928571428571429
CNN,f-measure,0.9788732394366197
CNN,precision,0.9862068965517241
CNN,recall,0.9862068965517241
CNN,f-measure,0.9862068965517241
CNN,precision,0.9746192893401016
CNN,recall,0.9948186528497409
CNN,f-measure,0.9846153846153846
CNN,precision,0.9182389937106918
CNN,recall,0.9931972789115646
CNN,f-measure,0.954248366013072
CNN,precision,0.98989898989899
CNN,recall,0.9607843137254902
CNN,f-measure,0.9751243781094527
CNN,precision,0.9932432432432432
CNN,recall,0.9932432432432432
CNN,f-measure,0.9932432432432432
CNN,precision,0.9371069182389937
CNN,recall,0.9430379746835443
CNN,f-measure,0.9400630914826499
CNN,precision,0.9693251533742331
CNN,recall,0.9875
CNN,f-measure,0.978328173374613
CNN,precision,0.9820359281437125
CNN,recall,0.9704142011834319
CNN,f-measure,0.9761904761904762
CNN,precision,0.9547325102880658
CNN,recall,0.9707112970711297
CNN,f-measure,0.962655601659751
OnsetRate,precision,0.17511520737327188
OnsetRate,recall,0.42696629213483145
OnsetRate,f-measure,0.2483660130718954
OnsetRate,precision,0.47863247863247865
OnsetRate,recall,0.5233644859813084
OnsetRate,f-measure,0.5
OnsetRate,precision,0.3333333333333333
OnsetRate,recall,0.49074074074074076
OnsetRate,f-measure,0.3970037453183521
OnsetRate,precision,0.972972972972973
OnsetRate,recall,0.935064935064935
OnsetRate,f-measure,0.9536423841059603
OnsetRate,precision,0.9479166666666666
OnsetRate,recall,0.9285714285714286
OnsetRate,f-measure,0.9381443298969072
OnsetRate,precision,0.5306122448979592
OnsetRate,recall,0.5252525252525253
OnsetRate,f-measure,0.5279187817258884
OnsetRate,precision,0.18433179723502305
OnsetRate,recall,0.6666666666666666
OnsetRate,f-measure,0.2888086642599278
OnsetRate,precision,0.4785714285714286
OnsetRate,recall,0.46206896551724136
OnsetRate,f-measure,0.47017543859649125
OnsetRate,precision,1.0
OnsetRate,recall,0.9116719242902208
OnsetRate,f-measure,0.9537953795379538
OnsetRate,precision,1.0
OnsetRate,recall,0.99
OnsetRate,f-measure,0.9949748743718593
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,0.9768041237113402
OnsetRate,recall,0.8366445916114791
OnsetRate,f-measure,0.9013079667063021
OnsetRate,precision,0.6423357664233577
OnsetRate,recall,0.5432098765432098
OnsetRate,f-measure,0.5886287625418061
OnsetRate,precision,0.10526315789473684
OnsetRate,recall,0.03333333333333333
OnsetRate,f-measure,0.05063291139240506
OnsetRate,precision,0.9342629482071713
OnsetRate,recall,0.6897058823529412
OnsetRate,f-measure,0.7935702199661592
OnsetRate,precision,0.7910447761194029
OnsetRate,recall,0.6091954022988506
OnsetRate,f-measure,0.6883116883116882
OnsetRate,precision,0.9558823529411765
OnsetRate,recall,0.7878787878787878
OnsetRate,f-measure,0.8637873754152825
OnsetRate,precision,0.8478260869565217
OnsetRate,recall,0.9069767441860465
OnsetRate,f-measure,0.8764044943820224
OnsetRate,precision,0.7894736842105263
OnsetRate,recall,0.9375
OnsetRate,f-measure,0.8571428571428572
OnsetRate,precision,0.6
OnsetRate,recall,0.6
OnsetRate,f-measure,0.6
OnsetRate,precision,0.7142857142857143
OnsetRate,recall,0.8823529411764706
OnsetRate,f-measure,0.7894736842105262
OnsetRate,precision,0.7142857142857143
OnsetRate,recall,0.8333333333333334
OnsetRate,f-measure,0.7692307692307692
OnsetRate,precision,0.5294117647058824
OnsetRate,recall,0.5
OnsetRate,f-measure,0.5142857142857143
OnsetRate,precision,0.75
OnsetRate,recall,0.7741935483870968
OnsetRate,f-measure,0.7619047619047619
OnsetRate,precision,0.925
OnsetRate,recall,0.578125
OnsetRate,f-measure,0.7115384615384616
OnsetRate,precision,0.7575757575757576
OnsetRate,recall,0.9259259259259259
OnsetRate,f-measure,0.8333333333333334
OnsetRate,precision,0.7727272727272727
OnsetRate,recall,0.7727272727272727
OnsetRate,f-measure,0.7727272727272727
OnsetRate,precision,0.8
OnsetRate,recall,0.6666666666666666
OnsetRate,f-measure,0.7272727272727272
OnsetRate,precision,0.9090909090909091
OnsetRate,recall,0.8108108108108109
OnsetRate,f-measure,0.8571428571428571
OnsetRate,precision,1.0
OnsetRate,recall,0.8688524590163934
OnsetRate,f-measure,0.9298245614035088
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,1.0
OnsetRate,recall,0.7611940298507462
OnsetRate,f-measure,0.864406779661017
OnsetRate,precision,1.0
OnsetRate,recall,0.8936170212765957
OnsetRate,f-measure,0.9438202247191011
OnsetRate,precision,0.896551724137931
OnsetRate,recall,1.0
OnsetRate,f-measure,0.9454545454545454
OnsetRate,precision,0.7619047619047619
OnsetRate,recall,1.0
OnsetRate,f-measure,0.8648648648648648
OnsetRate,precision,0.9354838709677419
OnsetRate,recall,1.0
OnsetRate,f-measure,0.9666666666666666
OnsetRate,precision,0.9
OnsetRate,recall,1.0
OnsetRate,f-measure,0.9473684210526316
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,0.8888888888888888
OnsetRate,recall,0.6666666666666666
OnsetRate,f-measure,0.761904761904762
OnsetRate,precision,0.96
OnsetRate,recall,0.8888888888888888
OnsetRate,f-measure,0.923076923076923
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,0.5230769230769231
OnsetRate,recall,0.4358974358974359
OnsetRate,f-measure,0.4755244755244755
OnsetRate,precision,0.74
OnsetRate,recall,0.7115384615384616
OnsetRate,f-measure,0.7254901960784313
OnsetRate,precision,0.8627450980392157
OnsetRate,recall,0.5789473684210527
OnsetRate,f-measure,0.6929133858267716
OnsetRate,precision,0.3157894736842105
OnsetRate,recall,0.35294117647058826
OnsetRate,f-measure,0.33333333333333337
OnsetRate,precision,0.65
OnsetRate,recall,0.5909090909090909
OnsetRate,f-measure,0.6190476190476191
OnsetRate,precision,0.45161290322580644
OnsetRate,recall,0.4375
OnsetRate,f-measure,0.4444444444444444
OnsetRate,precision,0.30434782608695654
OnsetRate,recall,0.3888888888888889
OnsetRate,f-measure,0.34146341463414637
OnsetRate,precision,0.6774193548387096
OnsetRate,recall,0.328125
OnsetRate,f-measure,0.4421052631578948
OnsetRate,precision,0.7027027027027027
OnsetRate,recall,0.5416666666666666
OnsetRate,f-measure,0.611764705882353
OnsetRate,precision,0.7857142857142857
OnsetRate,recall,0.8461538461538461
OnsetRate,f-measure,0.8148148148148148
OnsetRate,precision,0.5714285714285714
OnsetRate,recall,0.5714285714285714
OnsetRate,f-measure,0.5714285714285714
OnsetRate,precision,0.48
OnsetRate,recall,0.631578947368421
OnsetRate,f-measure,0.5454545454545454
OnsetRate,precision,0.8928571428571429
OnsetRate,recall,0.9615384615384616
OnsetRate,f-measure,0.9259259259259259
OnsetRate,precision,0.7368421052631579
OnsetRate,recall,0.6086956521739131
OnsetRate,f-measure,0.6666666666666666
OnsetRate,precision,0.9090909090909091
OnsetRate,recall,0.8695652173913043
OnsetRate,f-measure,0.888888888888889
OnsetRate,precision,0.9487179487179487
OnsetRate,recall,1.0
OnsetRate,f-measure,0.9736842105263158
OnsetRate,precision,0.9117647058823529
OnsetRate,recall,0.8378378378378378
OnsetRate,f-measure,0.8732394366197184
OnsetRate,precision,1.0
OnsetRate,recall,1.0
OnsetRate,f-measure,1.0
OnsetRate,precision,0.2647058823529412
OnsetRate,recall,0.34615384615384615
OnsetRate,f-measure,0.29999999999999993
OnsetRate,precision,0.41379310344827586
OnsetRate,recall,0.34782608695652173
OnsetRate,f-measure,0.3779527559055118
OnsetRate,precision,0.4878048780487805
OnsetRate,recall,0.39215686274509803
OnsetRate,f-measure,0.43478260869565216
OnsetRate,precision,0.5416666666666666
OnsetRate,recall,0.5416666666666666
OnsetRate,f-measure,0.5416666666666666
OnsetRate,precision,0.5
OnsetRate,recall,0.3333333333333333
OnsetRate,f-measure,0.4
OnsetRate,precision,0.8222222222222222
OnsetRate,recall,0.6851851851851852
OnsetRate,f-measure,0.7474747474747475
OnsetRate,precision,0.0
OnsetRate,recall,0.0
OnsetRate,f-measure,0.0
OnsetRate,precision,0.8974358974358975
OnsetRate,recall,0.5072463768115942
OnsetRate,f-measure,0.6481481481481483
OnsetRate,precision,0.9423076923076923
OnsetRate,recall,0.7313432835820896
OnsetRate,f-measure,0.8235294117647058
OnsetRate,precision,0.6666666666666666
OnsetRate,recall,0.5581395348837209
OnsetRate,f-measure,0.6075949367088608
OnsetRate,precision,0.9591836734693877
OnsetRate,recall,0.746031746031746
OnsetRate,f-measure,0.8392857142857143
OnsetRate,precision,0.35135135135135137
OnsetRate,recall,0.38235294117647056
OnsetRate,f-measure,0.3661971830985916
OnsetRate,precision,0.32142857142857145
OnsetRate,recall,0.375
OnsetRate,f-measure,0.3461538461538462
OnsetRate,precision,0.2894736842105263
OnsetRate,recall,0.2894736842105263
OnsetRate,f-measure,0.2894736842105263
OnsetRate,precision,0.3333333333333333
OnsetRate,recall,0.2857142857142857
OnsetRate,f-measure,0.30769230769230765
OnsetRate,precision,0.5
OnsetRate,recall,0.4666666666666667
OnsetRate,f-measure,0.4827586206896552
OnsetRate,precision,0.25
OnsetRate,recall,0.6666666666666666
OnsetRate,f-measure,0.36363636363636365
OnsetRate,precision,0.4
OnsetRate,recall,0.14285714285714285
OnsetRate,f-measure,0.21052631578947364
OnsetRate,precision,0.4883720930232558
OnsetRate,recall,0.525
OnsetRate,f-measure,0.5060240963855422
OnsetRate,precision,0.7027027027027027
OnsetRate,recall,0.6046511627906976
OnsetRate,f-measure,0.6499999999999999
OnsetRate,precision,0.9354838709677419
OnsetRate,recall,0.9666666666666667
OnsetRate,f-measure,0.9508196721311476
OnsetRate,precision,0.8461538461538461
OnsetRate,recall,0.6
OnsetRate,f-measure,0.7021276595744681
OnsetRate,precision,0.9230769230769231
OnsetRate,recall,0.8181818181818182
OnsetRate,f-measure,0.8674698795180724
OnsetRate,precision,0.9722222222222222
OnsetRate,recall,0.7954545454545454
OnsetRate,f-measure,0.875
OnsetRate,precision,0.9743589743589743
OnsetRate,recall,0.95
OnsetRate,f-measure,0.9620253164556962
OnsetRate,precision,0.9333333333333333
OnsetRate,recall,0.7368421052631579
OnsetRate,f-measure,0.8235294117647058
OnsetRate,precision,0.85
OnsetRate,recall,0.7083333333333334
OnsetRate,f-measure,0.7727272727272727
OnsetRate,precision,1.0
OnsetRate,recall,0.8857142857142857
OnsetRate,f-measure,0.9393939393939393
OnsetRate,precision,0.3548387096774194
OnsetRate,recall,0.5
OnsetRate,f-measure,0.41509433962264153
OnsetRate,precision,0.775
OnsetRate,recall,0.6078431372549019
OnsetRate,f-measure,0.6813186813186813
OnsetRate,precision,0.34285714285714286
OnsetRate,recall,0.46153846153846156
OnsetRate,f-measure,0.3934426229508197
OnsetRate,precision,0.3684210526315789
OnsetRate,recall,0.3333333333333333
OnsetRate,f-measure,0.35
OnsetRate,precision,0.1875
OnsetRate,recall,0.3
OnsetRate,f-measure,0.23076923076923075
OnsetRate,precision,0.8918918918918919
OnsetRate,recall,0.717391304347826
OnsetRate,f-measure,0.7951807228915664
OnsetRate,precision,0.8666666666666667
OnsetRate,recall,0.6842105263157895
OnsetRate,f-measure,0.7647058823529413
OnsetRate,precision,0.7333333333333333
OnsetRate,recall,0.6875
OnsetRate,f-measure,0.7096774193548386
OnsetRate,precision,0.6
OnsetRate,recall,0.6
OnsetRate,f-measure,0.6
OnsetRate,precision,0.6666666666666666
OnsetRate,recall,0.8181818181818182
OnsetRate,f-measure,0.7346938775510203
OnsetRate,precision,0.6428571428571429
OnsetRate,recall,0.8181818181818182
OnsetRate,f-measure,0.7200000000000001
OnsetRate,precision,0.8636363636363636
OnsetRate,recall,0.95
OnsetRate,f-measure,0.9047619047619048
OnsetRate,precision,0.8846153846153846
OnsetRate,recall,0.7419354838709677
OnsetRate,f-measure,0.8070175438596492
OnsetRate,precision,0.8771929824561403
OnsetRate,recall,0.8333333333333334
OnsetRate,f-measure,0.8547008547008548
OnsetRate,precision,0.8235294117647058
OnsetRate,recall,0.6363636363636364
OnsetRate,f-measure,0.717948717948718
OnsetRate,precision,0.5227272727272727
OnsetRate,recall,0.3898305084745763
OnsetRate,f-measure,0.4466019417475728
OnsetRate,precision,0.6333333333333333
OnsetRate,recall,0.6333333333333333
OnsetRate,f-measure,0.6333333333333333
OnsetRate,precision,0.4411764705882353
OnsetRate,recall,0.39473684210526316
OnsetRate,f-measure,0.41666666666666663
OnsetRate,precision,0.2
OnsetRate,recall,0.47058823529411764
OnsetRate,f-measure,0.2807017543859649
OnsetRate,precision,0.3181818181818182
OnsetRate,recall,0.45161290322580644
OnsetRate,f-measure,0.3733333333333333
OnsetRate,precision,0.8421052631578947
OnsetRate,recall,0.5517241379310345
OnsetRate,f-measure,0.6666666666666666
OnsetRate,precision,0.8461538461538461
OnsetRate,recall,0.4489795918367347
OnsetRate,f-measure,0.5866666666666667
OnsetRate,precision,0.8484848484848485
OnsetRate,recall,0.7
OnsetRate,f-measure,0.7671232876712328
OnsetRate,precision,0.9230769230769231
OnsetRate,recall,0.6428571428571429
OnsetRate,f-measure,0.7578947368421053
OnsetRate,precision,0.8863636363636364
OnsetRate,recall,0.5416666666666666
OnsetRate,f-measure,0.6724137931034482
OnsetRate,precision,0.7948717948717948
OnsetRate,recall,0.47692307692307695
OnsetRate,f-measure,0.5961538461538463
OnsetRate,precision,0.9032258064516129
OnsetRate,recall,0.6511627906976745
OnsetRate,f-measure,0.7567567567567568
OnsetRate,precision,0.8333333333333334
OnsetRate,recall,0.6666666666666666
OnsetRate,f-measure,0.7407407407407408
OnsetRate,precision,0.9423076923076923
OnsetRate,recall,0.6363636363636364
OnsetRate,f-measure,0.7596899224806201
OnsetRate,precision,0.8823529411764706
OnsetRate,recall,0.4918032786885246
OnsetRate,f-measure,0.631578947368421
OnsetRate,precision,0.9354838709677419
OnsetRate,recall,0.4393939393939394
OnsetRate,f-measure,0.5979381443298969
OnsetRate,precision,0.9361702127659575
OnsetRate,recall,0.6376811594202898
