Algorithm,Measure,Value
CNN,recall,0.9523809523809523
CNN,f-measure,0.96
CNN,precision,0.8888888888888888
CNN,recall,0.7058823529411765
CNN,f-measure,0.7868852459016393
CNN,precision,0.8888888888888888
CNN,recall,0.6666666666666666
CNN,f-measure,0.761904761904762
CNN,precision,0.8387096774193549
CNN,recall,0.6842105263157895
CNN,f-measure,0.7536231884057972
CNN,precision,1.0
CNN,recall,0.7142857142857143
CNN,f-measure,0.8333333333333333
CNN,precision,0.7692307692307693
CNN,recall,0.6666666666666666
CNN,f-measure,0.7142857142857142
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.85
CNN,recall,0.6071428571428571
CNN,f-measure,0.7083333333333333
CNN,precision,0.8666666666666667
CNN,recall,0.975
CNN,f-measure,0.9176470588235294
CNN,precision,0.875
CNN,recall,0.9767441860465116
CNN,f-measure,0.923076923076923
CNN,precision,0.9090909090909091
CNN,recall,1.0
CNN,f-measure,0.9523809523809523
CNN,precision,0.9636363636363636
CNN,recall,0.9636363636363636
CNN,f-measure,0.9636363636363636
CNN,precision,0.8958333333333334
CNN,recall,0.9772727272727273
CNN,f-measure,0.9347826086956522
CNN,precision,0.9767441860465116
CNN,recall,0.9545454545454546
CNN,f-measure,0.9655172413793104
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9824561403508771
CNN,recall,0.9824561403508771
CNN,f-measure,0.9824561403508771
CNN,precision,1.0
CNN,recall,0.9583333333333334
CNN,f-measure,0.9787234042553191
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.7777777777777778
CNN,recall,0.9545454545454546
CNN,f-measure,0.8571428571428572
CNN,precision,0.9607843137254902
CNN,recall,0.9607843137254902
CNN,f-measure,0.9607843137254902
CNN,precision,0.8275862068965517
CNN,recall,0.9230769230769231
CNN,f-measure,0.8727272727272727
CNN,precision,0.675
CNN,recall,0.6428571428571429
CNN,f-measure,0.6585365853658537
CNN,precision,0.7692307692307693
CNN,recall,1.0
CNN,f-measure,0.8695652173913044
CNN,precision,0.875
CNN,recall,0.9130434782608695
CNN,f-measure,0.8936170212765957
CNN,precision,0.9459459459459459
CNN,recall,0.9210526315789473
CNN,f-measure,0.9333333333333332
CNN,precision,0.8421052631578947
CNN,recall,1.0
CNN,f-measure,0.9142857142857143
CNN,precision,0.8636363636363636
CNN,recall,0.95
CNN,f-measure,0.9047619047619048
CNN,precision,0.875
CNN,recall,0.9545454545454546
CNN,f-measure,0.9130434782608695
CNN,precision,0.9166666666666666
CNN,recall,1.0
CNN,f-measure,0.9565217391304348
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9666666666666667
CNN,recall,0.9354838709677419
CNN,f-measure,0.9508196721311476
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9090909090909091
CNN,recall,0.9090909090909091
CNN,f-measure,0.9090909090909091
CNN,precision,0.9016393442622951
CNN,recall,0.9322033898305084
CNN,f-measure,0.9166666666666666
CNN,precision,0.967741935483871
CNN,recall,1.0
CNN,f-measure,0.9836065573770492
CNN,precision,0.9117647058823529
CNN,recall,0.8157894736842105
CNN,f-measure,0.861111111111111
CNN,precision,0.8947368421052632
CNN,recall,1.0
CNN,f-measure,0.9444444444444444
CNN,precision,0.96875
CNN,recall,1.0
CNN,f-measure,0.9841269841269841
CNN,precision,0.9298245614035088
CNN,recall,0.9137931034482759
CNN,f-measure,0.9217391304347825
CNN,precision,1.0
CNN,recall,0.8775510204081632
CNN,f-measure,0.9347826086956522
CNN,precision,0.9743589743589743
CNN,recall,0.95
CNN,f-measure,0.9620253164556962
CNN,precision,0.9803921568627451
CNN,recall,0.8928571428571429
CNN,f-measure,0.9345794392523364
CNN,precision,0.9682539682539683
CNN,recall,0.8472222222222222
CNN,f-measure,0.9037037037037037
CNN,precision,1.0
CNN,recall,0.9384615384615385
CNN,f-measure,0.9682539682539683
CNN,precision,0.9743589743589743
CNN,recall,0.8837209302325582
CNN,f-measure,0.9268292682926831
CNN,precision,1.0
CNN,recall,0.9555555555555556
CNN,f-measure,0.9772727272727273
CNN,precision,1.0
CNN,recall,0.922077922077922
CNN,f-measure,0.9594594594594594
CNN,precision,0.9818181818181818
CNN,recall,0.8852459016393442
CNN,f-measure,0.9310344827586207
CNN,precision,0.9375
CNN,recall,0.9090909090909091
CNN,f-measure,0.923076923076923
CNN,precision,0.9420289855072463
CNN,recall,0.9420289855072463
CNN,f-measure,0.9420289855072463
CNN,precision,0.8571428571428571
CNN,recall,0.84
CNN,f-measure,0.8484848484848485
CNN,precision,0.9024390243902439
CNN,recall,0.8604651162790697
CNN,f-measure,0.8809523809523809
CNN,precision,0.9868421052631579
CNN,recall,0.9146341463414634
CNN,f-measure,0.949367088607595
CNN,precision,0.9565217391304348
CNN,recall,0.9166666666666666
CNN,f-measure,0.9361702127659574
